"","parameter_stable_id","categories"
"1619","IMPC_EMO_043_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"1620","IMPC_GPP_005_001","normal,abnormal,unobservable"
"1621","IMPC_EMO_132_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"1622","IMPC_EMO_149_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"1623","IMPC_EMO_035_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"1624","IMPC_EMO_106_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"1625","IMPC_EMO_078_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"1626","IMPC_EMO_159_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"1627","IMPC_EVP_002_001","Attempt to Image,Go to E15.5,Appears normal\, imaging,Go to E14.5"
"1628","IMPC_GEP_005_001","normal,abnormal,unobservable"
"1629","IMPC_GEP_030_001","normal,abnormal,unobservable"
"1630","IMPC_GEP_048_001","normal,abnormal,unobservable"
"1631","IMPC_EVP_001_001","Homozygous - Viable,Homozygous - Lethal,Homozygous - Subviable,Insufficient numbers to make a call,Hemizygous - Lethal,Hemizygous - Viable"
"1633","IMPC_GEP_056_001","normal,abnormal,unobservable"
"1634","IMPC_GEP_021_001","normal,abnormal,unobservable"
"1635","IMPC_EVP_022_001","Warm PBS,Ice,no medium"
"1636","IMPC_GEP_014_001","normal,abnormal,unobservable"
"1637","IMPC_GEP_049_001","normal,abnormal,unobservable"
"1638","IMPC_GEP_031_001","normal,abnormal,unobservable"
"1639","IMPC_GEP_047_001","normal,abnormal,unobservable"
"1640","IMPC_GPP_001_001","normal,abnormal,unobservable"
"1641","IMPC_GEP_004_001","normal,abnormal,unobservable"
"1642","IMPC_GEP_057_001","normal,abnormal,unobservable"
"1643","IMPC_GEP_039_001","normal,abnormal,unobservable"
"1647","IMPC_GEP_017_001","normal,abnormal,unobservable"
"1651","IMPC_GEP_026_001","normal,abnormal,unobservable"
"1652","IMPC_GEP_002_001","yes,no"
"1653","IMPC_GEP_052_001","normal,abnormal,unobservable"
"1654","IMPC_GEP_003_001","normal,abnormal,unobservable"
"1655","IMPC_GEP_009_001","normal,abnormal,unobservable"
"1656","IMPC_GEP_045_001","normal,abnormal,unobservable"
"1657","IMPC_GEP_035_001","normal,abnormal,unobservable"
"1658","IMPC_GEP_032_001","normal,abnormal,unobservable"
"1659","IMPC_GEP_061_001","normal,abnormal,unobservable"
"1661","IMPC_GEP_024_001","normal,abnormal,unobservable"
"1662","IMPC_GEP_054_001","normal,abnormal,unobservable"
"1663","IMPC_GEP_028_001","normal,abnormal,unobservable"
"1664","IMPC_GEP_011_001","normal,abnormal,unobservable"
"1665","IMPC_GEP_058_001","normal,abnormal,unobservable"
"1667","IMPC_GEP_041_001","normal,abnormal,unobservable"
"1669","IMPC_GEP_008_001","normal,abnormal,unobservable"
"1670","IMPC_GEP_046_001","normal,abnormal,unobservable"
"1671","IMPC_GEP_040_001","normal,abnormal,unobservable"
"1672","IMPC_GEP_050_001","normal,abnormal,unobservable"
"1673","IMPC_GEP_020_001","normal,abnormal,unobservable"
"1674","IMPC_GEP_025_001","normal,abnormal,unobservable"
"1675","IMPC_BWT_007_001","AV2101,SI-2002,SL-3100D,TP-202,PG3001-S,Adventurer Pro,440-47N,AM100,XS802S,AB104-S,AV212C,PCB2000-1,440-33,440-47,572-35,770-14,EMB220-1,EMB500-1,EMB600-2,EW600-2M,BL310,Navigator 34120,AV213C,VIC-511,VIC-123,BP6100,CPA3202S,EMB 200-2,Entris 2201-1S"
"1679","IMPC_HOU_038_001","Weekly,Biweekly,As required"
"1680","IMPC_HOU_064_001","Yes,No"
"1681","IMPC_HOU_012_001","Yes,No,Seasonally (not in winter)"
"1682","IMPC_HOU_055_001","Bottle,Automatic water system"
"1683","IMPC_HOU_060_001","Yes,No"
"1684","IMPC_HOU_056_001","SPF,Non-SPF"
"1685","IMPC_HOU_039_001","Weekly (assessment),During cage cleaning,During phenotyping procedures,During cage cleaning/During phenotyping procedures"
"1686","IMPC_HOU_058_001","No external live animals,Selected commercial sources,Selected commercial sources & rederivation or embryo transfer"
"1687","IMPC_HOU_009_001","Yes,No"
"1688","IMPC_HOU_057_001","Open-system,Individually ventilated cage racks,Isolation unit"
"1689","IMPC_HOU_059_001","Rederivations,Micro testing,None"
"1690","IMPC_HOU_041_001","Natural-ingredient,Chemically-defined,Purified diet"
"1691","IMPC_HOU_024_001","Yes,No"
"1692","IMPC_HOU_050_001","Ad libitum,Meal feeding,Restricted"
"1693","IMPC_HOU_015_001","Negative,Positive,Passive"
"1694","IMPC_HOU_042_001","Yes,No"
"1695","IMPC_HOU_051_001","Fish,Animal,Vegetable"
"1696","IMPC_HOU_019_001","Yes,No"
"1697","IMPC_HOU_052_001","Yes,No"
"1698","IMPC_HOU_023_001","LED,Florescent,Incandescent"
"1699","IMPC_HOU_036_001","Irradiated,Autoclaved,No treatment"
"1700","IMPC_HOU_066_001","Yes,No"
"1701","IMPC_HOU_053_001","RO,Autoclaved,UV,Acidification,Chlorination,Filter sterilisation,RO + Quiprol treatment,No treatment"
"1702","IMPC_EVL_005_001","Attempt to Image,Nothing to Image,Go to E8.5"
"2006","IMPC_GPM_004_001","normal,abnormal,unobservable"
"2008","IMPC_GEM_044_001","normal,abnormal,unobservable"
"2014","IMPC_GEM_018_001","normal,abnormal,unobservable"
"2015","IMPC_GEM_002_001","yes,no"
"2016","IMPC_GEM_010_001","normal,abnormal,unobservable"
"2017","IMPC_GEM_036_001","normal,abnormal,unobservable"
"2018","IMPC_GEM_038_001","normal,abnormal,unobservable"
"2019","IMPC_GEM_008_001","normal,abnormal,unobservable"
"2020","IMPC_GEM_025_001","normal,abnormal,unobservable"
"2021","IMPC_GEM_041_001","normal,abnormal,unobservable"
"2022","IMPC_GEM_042_001","normal,abnormal,unobservable"
"2029","IMPC_GEM_025_002","yes,unobservable,no"
"2030","IMPC_GEM_008_002","yes,no,unobservable"
"2039","IMPC_GEM_026_002","yes,unobservable,no"
"2041","IMPC_GEM_043_002","yes,unobservable,no"
"2042","IMPC_GEM_060_001","no,yes,unobservable"
"2063","IMPC_GEM_034_002","yes,no,unobservable"
"2069","IMPC_GEM_078_001","yes,no,unobservable"
"2070","IMPC_GEM_061_001","normal,abnormal,unobservable"
"2071","IMPC_GEM_070_001","normal,abnormal,unobservable"
"2072","IMPC_GEM_071_001","no,yes,unobservable"
"2073","IMPC_GEM_062_001","normal,abnormal,unobservable"
"2076","IMPC_GEM_068_001","normal,abnormal,unobservable"
"2078","IMPC_GEM_072_001","normal,abnormal,unobservable"
"2082","IMPC_GEM_069_001","normal,abnormal,unobservable"
"2085","IMPC_GEM_073_001","normal,abnormal,unobservable"
"2086","IMPC_GEM_065_001","normal,abnormal,unobservable"
"2088","IMPC_GEM_067_001","normal,abnormal,unobservable"
"2101","IMPC_EVO_002_001","Attempt to Image,Nothing to Image,Go to E9.5,Go to E18.5"
"2102","IMPC_EVO_023_001","Warm PBS,Ice"
"2103","IMPC_EVO_001_001","Homozygous - Viable,Homozygous - Lethal,Homozygous - Subviable,Insufficient numbers to make a call,Hemizygous - Lethal,Hemizygous - Viable"
"2104","IMPC_GPO_004_001","normal,abnormal,unobservable"
"2105","IMPC_GPO_002_001","normal,abnormal,unobservable"
"2106","IMPC_GPO_005_001","normal,abnormal,unobservable"
"2107","IMPC_GPO_001_001","normal,abnormal,unobservable"
"2108","IMPC_GPO_018_001","no,yes,unobservable"
"2109","IMPC_GPO_003_001","normal,abnormal,unobservable"
"2110","IMPC_GEO_035_001","normal,abnormal,unobservable"
"2111","IMPC_GEO_027_001","normal,abnormal,unobservable"
"2112","IMPC_GEO_043_001","normal,abnormal,unobservable"
"2113","IMPC_GEO_019_001","normal,abnormal,unobservable"
"2114","IMPC_GEO_009_001","normal,abnormal,unobservable"
"2116","IMPC_GEO_010_001","normal,abnormal,unobservable"
"2117","IMPC_GEO_026_001","normal,abnormal,unobservable"
"2120","IMPC_GEO_018_001","normal,abnormal,unobservable"
"2121","IMPC_GEO_041_001","normal,abnormal,unobservable"
"2123","IMPC_GEO_038_001","normal,abnormal,unobservable"
"2126","IMPC_GEO_012_001","normal,abnormal,unobservable"
"2127","IMPC_GEO_025_001","normal,abnormal,unobservable"
"2128","IMPC_GEO_007_001","normal,abnormal,unobservable"
"2130","IMPC_GEO_042_001","normal,abnormal,unobservable"
"2134","IMPC_GEO_021_001","normal,abnormal,unobservable"
"2135","IMPC_GEO_025_002","yes,unobservable,no"
"2140","IMPC_GEO_023_001","normal,abnormal,unobservable"
"2143","IMPC_GEO_039_001","normal,abnormal,unobservable"
"2146","IMPC_GEO_048_001","normal,abnormal,unobservable"
"2149","IMPC_GEO_031_001","normal,abnormal,unobservable"
"2150","IMPC_GEO_005_001","normal,abnormal,unobservable"
"2151","IMPC_GEO_016_001","normal,abnormal,unobservable"
"2153","IMPC_GEO_032_001","normal,abnormal,unobservable"
"2155","IMPC_GEO_002_001","yes,no"
"2156","IMPC_GEO_017_001","normal,abnormal,unobservable"
"2158","IMPC_GEO_045_001","normal,abnormal,unobservable"
"2160","IMPC_GEO_028_001","normal,abnormal,unobservable"
"2161","IMPC_GEO_048_002","yes,unobservable,no"
"2162","IMPC_GEO_047_001","normal,abnormal,unobservable"
"2163","IMPC_GEO_034_001","normal,abnormal,unobservable"
"2166","IMPC_GEO_020_001","normal,abnormal,unobservable"
"2167","IMPC_GEO_003_001","normal,abnormal,unobservable"
"2168","IMPC_GEO_033_001","normal,abnormal,unobservable"
"2169","IMPC_GEO_046_001","normal,abnormal,unobservable"
"2177","IMPC_GEO_010_002","yes,unobservable,no"
"2178","IMPC_EMO_123_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2179","IMPC_EMO_030_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2181","IMPC_EMO_073_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2183","IMPC_EMO_060_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2199","IMPC_GEO_065_001","normal,abnormal,unobservable"
"2201","IMPC_EMO_034_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2202","IMPC_EMO_069_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2203","IMPC_EMO_085_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2204","IMPC_EMO_093_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2205","IMPC_EMO_115_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2206","IMPC_EMO_026_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2207","IMPC_EMO_050_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2208","IMPC_EMO_158_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2209","IMPC_EMO_087_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2210","IMPC_EMO_141_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2211","IMPC_EMO_044_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2212","IMPC_EMO_176_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2213","IMPC_EMO_036_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2214","IMPC_EMO_018_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2215","IMPC_EMO_107_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2216","IMPC_EMO_133_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2217","IMPC_EMO_168_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2218","IMPC_EMO_079_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2219","IMPC_EMO_172_001","yes,no,unobservable"
"2220","IMPC_EMO_117_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2221","IMPC_EMO_164_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2222","IMPC_EMO_024_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2223","IMPC_EMO_097_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2224","IMPC_EMO_067_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2225","IMPC_EMO_054_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2226","IMPC_EMO_121_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2227","IMPC_EMO_091_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2228","IMPC_EMO_135_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2229","IMPC_EMO_148_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2230","IMPC_EMO_062_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2231","IMPC_EMO_066_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2232","IMPC_EMO_075_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2233","IMPC_EMO_040_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2234","IMPC_EMO_088_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2235","IMPC_EMO_109_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2236","IMPC_EMO_032_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2237","IMPC_EMO_096_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2238","IMPC_EMO_058_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2239","IMPC_EMO_083_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2240","IMPC_EMO_045_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2241","IMPC_EMO_070_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2242","IMPC_EMO_139_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2243","IMPC_EMO_146_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2244","IMPC_EMO_142_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2245","IMPC_EMO_112_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2246","IMPC_EMO_125_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2247","IMPC_EMO_150_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2248","IMPC_EMO_108_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2249","IMPC_EMO_033_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2250","IMPC_EMO_052_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2251","IMPC_EMO_076_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2252","IMPC_EMO_082_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2253","IMPC_EMO_095_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2254","IMPC_EMO_089_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2255","IMPC_EMO_020_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2256","IMPC_EMO_127_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2257","IMPC_EMO_046_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2258","IMPC_EMO_059_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2259","IMPC_EMO_101_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2260","IMPC_EMO_174_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2261","IMPC_EMO_029_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2262","IMPC_EMO_114_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2263","IMPC_EMO_131_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2264","IMPC_EMO_157_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2265","IMPC_EMO_144_001","present,absent,abnormal,unobservable,ambiguous,imageOnly"
"2266","IMPC_GEP_029_001","normal,abnormal,unobservable"
"2267","IMPC_GEP_059_001","normal,abnormal,unobservable"
"2280","IMPC_GEP_018_001","normal,abnormal,unobservable"
"2285","IMPC_GEP_060_001","normal,abnormal,unobservable"
"2289","IMPC_GEP_055_001","normal,abnormal,unobservable"
"2291","IMPC_GEP_007_001","normal,abnormal,unobservable"
"2302","IMPC_GEP_031_002","yes,unobservable,no"
"2310","IMPC_GEP_061_002","yes,unobservable,no"
"2313","IMPC_GEP_011_002","yes,unobservable,no"
"2321","IMPC_GEP_012_002","yes,unobservable,no"
"2322","IMPC_GEP_055_002","yes,unobservable,no"
"2323","IMPC_GEP_019_002","yes,unobservable,no"
"2326","IMPC_GEP_076_001","no,yes,unobservable"
"2328","IMPC_GEP_078_001","no,yes,unobservable"
"2329","IMPC_GEP_086_001","no,yes,unobservable"
"2333","IMPC_GEP_079_001","no,yes,unobservable"
"2335","IMPC_GEP_087_001","no,yes,unobservable"
"2348","IMPC_BLK_023_001","Blocked banked,Not Block banked"
"2349","IMPC_BLK_016_001","Blocked banked,Not Block banked"
"2350","IMPC_BLK_040_001","Blocked banked,Not Block banked"
"2351","IMPC_BLK_014_001","Blocked banked,Not Block banked"
"2352","IMPC_BLK_008_001","Paraffin,Low-melting paraffin\, SAV W011033,Paramat\, pastillated wax,Tissue Embedding Medium (Paraplast® Regular)"
"2353","IMPC_BLK_031_001","Blocked banked,Not Block banked"
"2354","IMPC_BLK_017_001","Blocked banked,Not Block banked"
"2355","IMPC_BLK_022_001","Blocked banked,Not Block banked"
"2356","IMPC_BLK_013_001","Blocked banked,Not Block banked"
"2357","IMPC_BLK_026_001","Blocked banked,Not Block banked"
"2358","IMPC_BLK_021_001","Blocked banked,Not Block banked"
"2359","IMPC_BLK_034_001","Blocked banked,Not Block banked"
"2360","IMPC_BLK_047_001","Block banked,Not Block banked"
"2361","IMPC_BLK_027_001","Blocked banked,Not Block banked"
"2362","IMPC_BLK_051_001","Block banked,Not Block banked"
"2363","IMPC_BLK_020_001","Blocked banked,Not Block banked"
"2364","IMPC_BLK_033_001","Blocked banked,Not Block banked"
"2365","IMPC_BLK_046_001","Block banked,Not Block banked"
"2366","IMPC_BLK_028_001","Blocked banked,Not Block banked"
"2367","IMPC_BLK_015_001","Blocked banked,Not Block banked"
"2368","IMPC_BLK_050_001","Block banked,Not Block banked"
"2371","IMPC_HIS_022_001",",,,,,,Not applicable"
"2372","IMPC_HIS_201_001","Not significant,Significant"
"2373","IMPC_HIS_212_001",",,,,,,Not applicable"
"2374","IMPC_HIS_189_001","Not significant,Significant"
"2375","IMPC_HIS_118_001",",,,,,,Not applicable"
"2376","IMPC_HIS_207_001","Not significant,Significant"
"2377","IMPC_HIS_195_001","Not significant,Significant"
"2378","IMPC_HIS_194_001","Not significant,Significant"
"2379","IMPC_HIS_040_001",",,,,,,Not applicable"
"2383","IMPC_HIS_203_001","Not significant,Significant"
"2384","IMPC_HIS_296_001",",,,,,,Not applicable"
"2386","IMPC_HIS_185_001","Not significant,Significant"
"2389","IMPC_HIS_243_001","Not significant,Significant"
"2390","IMPC_HIS_192_001","Not significant,Significant"
"2391","IMPC_HIS_175_001","H&E,Cresyl violet-LFB"
"2393","IMPC_HIS_010_001",",,,,,,Not applicable"
"2394","IMPC_HIS_181_001","Not significant,Significant"
"2397","IMPC_HIS_201_002","Not significant,Significant"
"2399","IMPC_HIS_207_002","Not significant,Significant,Not applicable"
"2401","IMPC_HIS_195_002","Not significant,Significant"
"2402","IMPC_BLK_035_001","Blocked banked,Not Block banked"
"2403","IMPC_BLK_039_001","Blocked banked,Not Block banked"
"2404","IMPC_BLK_052_001","Block banked,Not Block banked"
"2405","IMPC_BLK_056_001","Block banked,Not Block banked"
"2406","IMPC_BLK_018_001","Blocked banked,Not Block banked"
"2407","IMPC_BLK_043_001","Block banked,Not Block banked"
"2408","IMPC_HIS_187_002","Not significant,Significant"
"2409","IMPC_BLK_048_001","Block banked,Not Block banked"
"2410","IMPC_BLK_030_001","Blocked banked,Not Block banked"
"2411","IMPC_HIS_166_001",",,,,,,Not applicable"
"2412","IMPC_BLK_042_001","Blocked banked,Not Block banked"
"2413","IMPC_BLK_025_001","Blocked banked,Not Block banked"
"2414","IMPC_BLK_012_001","Blocked banked,Not Block banked"
"2415","IMPC_BLK_019_001","Blocked banked,Not Block banked"
"2416","IMPC_HIS_034_001",",,,,,,Not applicable"
"2417","IMPC_BLK_049_001","Block banked,Not Block banked"
"2418","IMPC_BLK_055_001","Block banked,Not Block banked"
"2419","IMPC_BLK_006_001","10% buffered formalin phosphate,4% NBF-24hrs,Neutral buffered formalin,10% neutral buffer formalin,Bousin,Telly"
"2420","IMPC_BLK_011_001","Blocked banked,Not Block banked"
"2421","IMPC_BLK_054_001","Block banked,Not Block banked"
"2422","IMPC_HIS_202_002","Not significant,Significant,Not applicable"
"2423","IMPC_BLK_041_001","Blocked banked,Not Block banked"
"2424","IMPC_HIS_204_001","Not significant,Significant"
"2425","IMPC_HIS_182_001","Not significant,Significant"
"2426","IMPC_HIS_299_001","Not significant,Significant"
"2427","IMPC_HIS_191_001","Not significant,Significant"
"2428","IMPC_HIS_188_002","Not significant,Significant"
"2430","IMPC_HIS_194_002","Not significant,Significant"
"2433","IMPC_HIS_199_001","Not significant,Significant\n"
"2436","IMPC_HIS_183_001","Not significant,Significant"
"2438","IMPC_HIS_202_001","Not significant,Significant"
"2440","IMPC_HIS_188_001","Not significant,Significant"
"2442","IMPC_HIS_205_001","Not significant,Significant"
"2443","IMPC_HIS_197_001","Not significant,Significant"
"2447","TCP_CHL_090_001","BioSystem XA for Windows v2.9.4,FinePointe Software Research Suite v2.3.1.9"
"2448","TCP_CHL_091_001","Epstein"
"2449","TCP_CHL_088_001","Buxco,DSI"
"2450","TCP_CHL_093_001","Unrestrained"
"2452","TCP_TFL_006_001","Tail-Flick Apparatus Meter"
"2453","TCP_TFL_005_001","Columbus Instruments"
"2457","IMPC_HIS_203_002","Not significant,Significant,Not applicable"
"2475","IMPC_HIS_180_002","Not significant,Significant"
"2479","IMPC_HIS_193_002","Not significant,Significant"
"2486","IMPC_HIS_179_002","Not significant,Significant"
"2501","IMPC_HIS_181_002","Not significant,Significant"
"2647","IMPC_ECH_021_001","Vevo2100,Vevo770,Sonos 4500,Sonos 5500"
"2648","IMPC_ECH_022_001","Isoflurane,Avertin,Tribromoethanol,No anesthesia"
"2649","IMPC_CHL_020_001","Buxco"
"2728","IMPC_ECH_020_001","VisualSonics,Philips"
"2867","HMGULA_BWT_007_001","AV2101,SI-2002,SL-3100D,TP-202,PG3001-S,Adventurer Pro,440-47N,AM100,XS802S,AB104-S,AV212C,PCB2000-1,440-33,440-47,572-35,770-14,EMB220-1,EMB500-1,EMB600-2,EW600-2M,BL310,Navigator 34120,AV213C,VIC-511,VIC-123,BP6100,CPA3202S,EMB 200-2,Entris 2201-1S"
"2868","HMGULA_OFD_029_001","Black,Transparent,White,Grey"
"2869","HMGULA_OFD_033_001","Wide beam break,Video tracking"
"2870","HMGULA_OFD_032_001",",7.6,7.35,9.39,7.5,7.9"
"2871","HMGULA_OFD_049_001","8.6,6.8"
"2872","HMGULA_IPG_005_001","32004-02,Accu-Chek Aviva,Accu-Chek Performa,One Touch Ultra 2,Super Glucocard II GT-1640,GLUCOCARD G+meter GT-1820,Alphatrak 2,GM9,Accu-Chek Aviva Connect,Accu-Chek Guide"
"2873","HMGULA_IPG_006_001","yes,No"
"2874","HMGULA_IPG_004_001","Abbott,Roche Diagnostic,Lifescan,ARKRAY factory.Inc,Analox,Roche Diabetes Care"
"2875","HMGULA_ECG_017_001","Mouse Specifics\, Inc.,AD Instruments,World Precision Instruments"
"2876","HMGULA_ECG_024_001","eMouse,Matlab"
"2877","HMGULA_IMM_090_001","eBioscience,BD PharmLyse,Jax,JMC,LONZA"
"2878","HMGULA_IMM_086_001","pre-lysis,post-lysis"
"2880","HMGULA_IMM_099_001","Sigma,Life Technologies,Jax,Wako,Gibco,none used"
"2883","HMGULA_IMM_105_001","S34857,S-34860,,D9542,S11348,home brew,R37606"
"2884","HMGULA_BWT_004_001","Ohaus,Denver Instrument,Scientech,Mettler Toledo,Kern & Sohn GmbH,Sartorius,Acculab"
"2885","HMGULA_IMM_085_001","#11088858001,CLS2LS004176,17101-015"
"2886","HMGULA_IMM_113_001",""
"2887","HMGULA_OFD_034_001","45x45,43.2x43.2,40.5x40.5,40x40,44x44,42x42,44.5x44.5,50x50"
"2888","HMGULA_IMM_103_001","Sytox Blue,Sytox Green,Zombie NIR,DAPI,Propidium Iodide"
"2889","HMGULA_IMM_079_001","BD LSRFortessa Cell Analyzer,H47100123,Gallios,FACSAria III,BD LSR-II,CANTO-II"
"2890","HMGULA_OFD_039_001","06.15 / 07.01,Topscan Lite,Image OF,Actitrack system,Ethovision XT v8.5,Versamax 4.2,TSE ActiMot Vers. 08.00,Activity Monitor V6.02,Opto-Varimex 4 AutoTrack System 4.97,TimeOFCR4"
"2891","HMGULA_IMM_081_001","Injection narcosis with Sodium Pentobarbital (Somnopentyl),none,Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Injection narcosis with Tribromoethanol (Avertin),Isoflurane"
"2892","HMGULA_OFD_026_001",",,,"
"2893","HMGULA_IMM_083_001","Collagenase D,Collagenase II"
"2894","HMGULA_IMM_101_001","Sigma"
"2895","HMGULA_ROT_011_001",""
"2896","HMGULA_IMM_115_001",""
"2897","HMGULA_ROT_008_001","Bioseb"
"2898","HMGULA_IMM_077_001","FACS,Fortessa_1,LSR II,Flow cytometer"
"2899","HMGULA_ROT_014_001",","
"2900","HMGULA_ROT_003_001","f,j,p"
"2901","HMGULA_ROT_006_001",",,,,"
"2902","HMGULA_ROT_010_001","Rubber foam,Without rubber foam"
"2903","HMGULA_ROT_012_001",""
"2904","HMGULA_INS_008_001","Sarstedt Li-Heparin gel tubes,Kabe Labortechnik Lithium heparin coated tubes,BD Microtainer silicone and micronized silica coated serum separator tubes"
"2905","HMGULA_INS_003_001","MORINAGA (Yokohama\, Japan),Meso Scale Discovery,Mercodia,MSD HMGU Custom"
"2906","HMGULA_INS_014_001","Fresh,Frozen"
"2907","HMGULA_INS_016_001","Neat plasma,1:2,Neat serum"
"2908","HMGULA_INS_006_001","Thermo scientific,Meso Scale Discovery,Tecan"
"2909","HMGULA_IMM_098_001","D1408,H6136-1L,041-20211,14190-144,L 182-10,HBSS 1X 14170-088,14175-095"
"2910","HMGULA_INS_019_001","Slight,Moderate,Marked"
"2911","HMGULA_INS_017_001",",,"
"2912","HMGULA_INS_011_001","Li-Heparin,No"
"2913","HMGULA_INS_002_001","Mouse Insulin kit,K152BZC,Ultrasensitive Mouse Insulin ELISA,MSD PANEL2,MSD PANEL3"
"2914","HMGULA_INS_009_001","Isofluorane,None,Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Injection narcosis with Tribromoethanol (Avertin),Injection narcosis with Ketamine (137mg/kg)/Xylazine (6.6mg/kg)"
"2915","HMGULA_INS_015_001","Yes,No"
"2916","HMGULA_INS_007_001","Multiskan JX,SECTOR Imager 2400,SECTOR Imager 6000,Genios Pro,MESO QuickPlex SQ 120"
"2917","HMGULA_IMM_087_001","Life Technologies,American Optical,Beckman Coulter,BD Biosciences,Merck Millipore,Orflo"
"2918","HMGULA_INS_018_001","ESLIM_024_001,PHENO_CBC,sop.inv.019"
"2919","HMGULA_INS_010_001","Retro-orbital puncture,Cardiac puncture"
"2920","HMGULA_IPG_007_001","Whole blood,Plasma,Plasma\, no maltose interference"
"2921","HMGULA_IMM_106_001",",RT"
"2922","HMGULA_IMM_104_001","Life Technologies,Biolegend,Sigma,home brew"
"2923","HMGULA_IMM_091_001","00-4300-54,,home brew,10-548E"
"2924","HMGULA_IMM_084_001","Roche,Worthington,Gibco"
